StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		84	52:26.7				Unclassified	2465					1									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		101	52:26.8				Unclassified	2465					2									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		119	52:26.8				Unclassified	2465					3									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		136	52:26.8				Unclassified	2465					4									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		151	52:26.8				Unclassified	2465					5									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		167	52:26.8				Unclassified	2465					6									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		184	52:26.8				Unclassified	2465					7									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		201	52:26.9				Unclassified	2465					8									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		217	52:26.9				Unclassified	2465					9									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		234	52:26.9				Unclassified	2465					10									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		251	52:26.9				Unclassified	2465					11									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		269	52:26.9				Unclassified	2465					12									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		286	52:26.9				Unclassified	2465					13									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		301	52:27.0				Unclassified	2465					14									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		317	52:27.0				Unclassified	2465					15									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		334	52:27.0				Unclassified	2465					16									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		351	52:27.0				Unclassified	2465					17									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		367	52:27.0				Unclassified	2465					18									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		384	52:27.0				Unclassified	2465					19									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		401	52:27.1				Unclassified	2465					20									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		418	52:27.1				Unclassified	2465					21									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		436	52:27.1				Unclassified	2465					22									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		451	52:27.1				Unclassified	2465					23									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		467	52:27.1				Unclassified	2465					24									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		484	52:27.1				Unclassified	2465					25									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		501	52:27.2				Unclassified	2465					26									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		517	52:27.2				Unclassified	2465					27									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		534	52:27.2				Unclassified	2465					28									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		551	52:27.2				Unclassified	2465					29									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		568	52:27.2				Unclassified	2465					30									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		586	52:27.2				Unclassified	2465					31									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		600	52:27.3				Unclassified	2465					32									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		617	52:27.3				Unclassified	2465					33									4	4
