Trial	SceneName	Position	SceneType	"Top Left (x,y)"	"Top Right (x,y)"	"Bottom Right (x,y)"	"Bottom Left (x,y)"
FamiliarBottle	Bottle	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
FamiliarBottle	Rabbit	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarDog	TV	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
FamiliarDog	Dog	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarHorse	Car	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
FamiliarHorse	Horse	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarSpoon	Spoon	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
FamiliarSpoon	Mouse	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarBird	Shoe	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
FamiliarBird	Bird	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarCow	Chair	Right	Inanimate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
FamiliarCow	Cow	Left	Animate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarLemur	Crazyolympics	Right	Inanimate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarLemur	Lemur	Left	Animate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarRhino	Ornament	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarRhino	Rhino	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarHedgehog	Ceramicthing	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarHedgehog	Hedgehog	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarArmadillo	Balloon	Right	Inanimate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarArmadillo	Armadillo	Left	Animate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarLizard	Parrothead	Left	Inanimate	"50,247"	"861,247"	"861,960"	"50,960"
UnfamiliarLizard	Lizard	Right	Animate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarFlamingo	Spiral	Right	Inanimate	"1059,247"	"1870,247"	"1870,960"	"1059,960"
UnfamiliarFlamingo	Flamingo	Left	Animate	"50,247"	"861,247"	"861,960"	"50,960"
