StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	X
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		151	58:45.6				Unclassified	33			1									4	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		168	58:45.7				Unclassified	33			2									4	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		185	58:45.7				Unclassified	33			3	974	527			974	527	3.66		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		201	58:45.7		1		Fixation	333			4	1283	588	965	586	1124	587	3.65	3.66	1	3	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		218	58:45.7		1		Fixation	333			5	967	649			967	649	3.43		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		235	58:45.7		1		Fixation	333			6	969	489			969	489	3.67		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		251	58:45.7		1		Fixation	333			7	971	584	968	579	969	581	3.53	3.46	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		268	58:45.8		1		Fixation	333			8	980	575	1026	463	1003	519	3.53	3.75	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		285	58:45.8		1		Fixation	333			9	982	529	1023	427	1002	478	3.56	3.78	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		301	58:45.8		1		Fixation	333			10	991	528			991	528	3.56		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		318	58:45.8		1		Fixation	333			11	961	621			961	621	3.4		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		335	58:45.8		1		Fixation	333			12	967	535	951	623	959	579	3.56	3.32	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		351	58:45.8		1		Fixation	333			13	980	499	949	599	964	549	3.63	3.4	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		368	58:45.9		1		Fixation	333			14	982	569			982	569	3.49		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		385	58:45.9		1		Fixation	333			15	963	605	985	546	974	575	3.42	3.48	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		401	58:45.9		1		Fixation	333			16	974	568	1003	527	988	547	3.44	3.45	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		418	58:45.9		1		Fixation	333			17	980	558			980	558	3.48		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		435	58:45.9		1		Fixation	333			18	975	518	982	563	978	540	3.53	3.38	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		451	58:45.9		1		Fixation	333			19	978	597	977	556	977	576	3.46	3.34	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		468	58:46.0		1		Fixation	333			20	976	594			976	594	3.41		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		484	58:46.0		1		Fixation	333			21	982	480			982	480	3.6		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		501	58:46.0		1		Fixation	333			22	978	527	1008	499	993	513	3.49	3.5	0	0	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		518	58:46.0		1		Fixation	333			23	955	597			955	597	3.38		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		534	58:46.0		2		Fixation	366			24	918	638			918	638	3.25		0	4	
Informative A	ANCAT139	F	ANCAT139	11/16/2012	303440		551	58:46.0		2		Fixation	366			25	980	602	1022	466	1001	534	3.37	3.51	0	0	
