StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		55	12:15:54.702				Unclassified	1715			1									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		71	12:15:54.719				Unclassified	1715			2									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		88	12:15:54.736				Unclassified	1715			3									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		105	12:15:54.752				Unclassified	1715			4									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		121	12:15:54.769				Unclassified	1715			5									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		140	12:15:54.788				Unclassified	1715			6									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		155	12:15:54.802				Unclassified	1715			7									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		171	12:15:54.819				Unclassified	1715			8									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		188	12:15:54.836				Unclassified	1715			9									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		205	12:15:54.852				Unclassified	1715			10									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		221	12:15:54.869				Unclassified	1715			11									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		238	12:15:54.886				Unclassified	1715			12									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		255	12:15:54.902				Unclassified	1715			13									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		271	12:15:54.919				Unclassified	1715			14									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		288	12:15:54.936				Unclassified	1715			15									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		305	12:15:54.952				Unclassified	1715			16									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		322	12:15:54.969				Unclassified	1715			17									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		339	12:15:54.987				Unclassified	1715			18									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		356	12:15:55.004				Unclassified	1715			19									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		371	12:15:55.019				Unclassified	1715			20									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		388	12:15:55.035				Unclassified	1715			21									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		405	12:15:55.052				Unclassified	1715			22									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		421	12:15:55.069				Unclassified	1715			23									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		438	12:15:55.085				Unclassified	1715			24									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		454	12:15:55.102				Unclassified	1715			25									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		471	12:15:55.119				Unclassified	1715			26									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		488	12:15:55.136				Unclassified	1715			27									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		504	12:15:55.152				Unclassified	1715			28									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		521	12:15:55.169				Unclassified	1715			29									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		538	12:15:55.186				Unclassified	1715			30									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		556	12:15:55.203				Unclassified	1715			31									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		572	12:15:55.220				Unclassified	1715			32									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		589	12:15:55.236				Unclassified	1715			33									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		605	12:15:55.253				Unclassified	1715			34									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		622	12:15:55.270				Unclassified	1715			35									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		638	12:15:55.285				Unclassified	1715			36									4	4	
Informative A	ANCAT18	F	ANCAT18	2/4/2012	304780		654	12:15:55.302				Unclassified	1715			37									4	4	
