StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		154	11:16:47.840								1	984	592	922	590	953	591	2.85	2.71	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		171	11:16:47.857		1		Fixation	1881			2	985	583	919	596	952	589	2.87	2.75	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		187	11:16:47.873		1		Fixation	1881			3	983	592	919	590	951	591	2.85	2.72	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		204	11:16:47.890		1		Fixation	1881			4	975	584	924	598	949	591	2.79	2.70	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		221	11:16:47.907		1		Fixation	1881			5	976	588	923	590	949	589	2.79	2.69	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		238	11:16:47.923		1		Fixation	1881			6	990	590	920	586	955	588	2.85	2.72	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		254	11:16:47.940		1		Fixation	1881			7	984	595	918	592	951	593	2.85	2.75	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		271	11:16:47.957		1		Fixation	1881			8	980	592	923	600	951	596	2.86	2.77	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		288	11:16:47.973		1		Fixation	1881			9	985	590	924	599	954	594	2.83	2.77	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		304	11:16:47.990		1		Fixation	1881			10	973	600	919	591	946	595	2.82	2.71	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		321	11:16:48.007		1		Fixation	1881			11	987	597	926	595	956	596	2.87	2.75	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		338	11:16:48.023		1		Fixation	1881			12	994	598	917	587	955	592	2.80	2.74	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		354	11:16:48.040		1		Fixation	1881			13	980	586	916	597	948	591	2.81	2.70	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		371	11:16:48.057		1		Fixation	1881			14	976	598	923	595	949	596	2.78	2.68	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		388	11:16:48.073		1		Fixation	1881			15	974	602	923	591	948	596	2.80	2.69	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		404	11:16:48.090		1		Fixation	1881			16	981	600	920	591	950	595	2.78	2.70	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		421	11:16:48.107		1		Fixation	1881			17	976	596	914	593	945	594	2.79	2.71	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		438	11:16:48.123		1		Fixation	1881			18	990	600	919	588	954	594	2.86	2.75	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		454	11:16:48.140		1		Fixation	1881			19	991	592	928	597	959	594	2.85	2.76	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		471	11:16:48.157		1		Fixation	1881			20	986	592	923	592	954	592	2.86	2.75	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		488	11:16:48.173		1		Fixation	1881			21	978	588	924	590	951	589	2.81	2.72	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		504	11:16:48.190		1		Fixation	1881			22	981	597	917	595	949	596	2.83	2.73	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		521	11:16:48.207		1		Fixation	1881			23	982	597	919	594	950	595	2.82	2.73	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		538	11:16:48.223		1		Fixation	1881			24	965	589	912	585	938	587	2.80	2.73	0	0	
Informative B	ANCAT88	F	ANCAT88	7/2/2012	317823		554	11:16:48.240		1		Fixation	1881			25	974	598	916	602	945	600	2.77	2.72	0	0	
