StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		124	16:11:16.296								1	-75	838	-90	872	-82	855	3.82	3.80	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		141	16:11:16.312		1		Fixation	150			2	-68	869	-60	858	-64	863	3.86	3.78	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		157	16:11:16.329		1		Fixation	150			3	-34	800	-85	887	-59	843	3.91	3.77	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		174	16:11:16.346		1		Fixation	150			4	-33	844	-94	865	-63	854	3.85	3.80	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		191	16:11:16.362		1		Fixation	150			5	-43	835	-88	900	-65	867	3.82	3.76	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		207	16:11:16.379		1		Fixation	150			6	-61	818	-99	849	-80	833	3.84	3.75	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		224	16:11:16.396		1		Fixation	150			7	-43	882	-95	866	-69	874	3.90	3.75	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		241	16:11:16.412		1		Fixation	150			8	-54	856	-70	880	-62	868	3.85	3.82	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		257	16:11:16.429		1		Fixation	150			9	-42	824	-50	844	-46	834	3.84	3.71	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		274	16:11:16.446		1		Fixation	150			10	221	800	228	783	224	791	3.84	3.78	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		291	16:11:16.462		1		Fixation	150			11	484	703	559	801	521	752	3.92	3.73	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		307	16:11:16.479		2		Fixation	234			12	804	655	911	678	857	666	4.00	3.76	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		324	16:11:16.496		2		Fixation	234			13	995	582	1084	587	1039	584	4.10	3.87	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		341	16:11:16.512		2		Fixation	234			14	1051	567	1053	596	1052	581	3.89	3.79	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		357	16:11:16.529		2		Fixation	234			15	1049	608	1063	601	1056	604	3.96	3.86	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		374	16:11:16.545		2		Fixation	234			16	1074	579	1065	604	1069	591	3.99	3.80	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		391	16:11:16.562		2		Fixation	234			17	1069	565	1086	598	1077	581	3.90	3.85	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		407	16:11:16.579		2		Fixation	234			18	1037	577	1037	601	1037	589	3.92	3.82	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		424	16:11:16.596		2		Fixation	234			19	1056	598	1086	618	1071	608	3.87	3.77	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		441	16:11:16.612		2		Fixation	234			20	1085	581	1068	582	1076	581	3.80	3.78	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		457	16:11:16.629		2		Fixation	234			21	1096	587	1075	591	1085	589	3.85	3.78	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		474	16:11:16.646		2		Fixation	234			22	1080	630	1026	653	1053	641	3.67	3.59	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		491	16:11:16.663		2		Fixation	234			23	1075	607	1019	652	1047	629	3.58	3.51	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		508	16:11:16.679		2		Fixation	234			24	1077	617	1013	665	1045	641	3.51	3.48	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		524	16:11:16.696		2		Fixation	234			25	1075	617	1017	657	1046	637	3.48	3.46	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		541	16:11:16.713		3		Fixation	582			26	968	603	913	638	940	620	3.45	3.44	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		557	16:11:16.728		3		Fixation	582			27	1007	613	935	644	971	628	3.41	3.42	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		573	16:11:16.745		3		Fixation	582			28	985	599	925	639	955	619	3.33	3.38	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		590	16:11:16.761		3		Fixation	582			29	976	607	923	639	949	623	3.27	3.35	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		607	16:11:16.778		3		Fixation	582			30	995	600	924	641	959	620	3.25	3.31	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		623	16:11:16.795		3		Fixation	582			31	997	602	923	638	960	620	3.24	3.28	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		640	16:11:16.811		3		Fixation	582			32	983	608	928	627	955	617	3.20	3.23	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		656	16:11:16.828		3		Fixation	582			33	984	599	925	630	954	614	3.13	3.22	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		673	16:11:16.845		3		Fixation	582			34	990	605	918	633	954	619	3.11	3.18	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		690	16:11:16.861		3		Fixation	582			35	990	605	916	632	953	618	3.08	3.18	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		706	16:11:16.878		3		Fixation	582			36	990	600	923	628	956	614	3.07	3.16	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		723	16:11:16.895		3		Fixation	582			37	994	600	921	624	957	612	3.05	3.13	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		740	16:11:16.911		3		Fixation	582			38	991	603	922	635	956	619	3.04	3.11	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		756	16:11:16.928		3		Fixation	582			39	973	610	922	637	947	623	2.98	3.14	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		773	16:11:16.945		3		Fixation	582			40	978	587	921	632	949	609	2.99	3.10	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		790	16:11:16.961		3		Fixation	582			41	987	597	919	631	953	614	2.97	3.10	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		806	16:11:16.978		3		Fixation	582			42	976	593	915	637	945	615	2.99	3.08	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		823	16:11:16.994		3		Fixation	582			43	976	591	915	634	945	612	2.95	3.06	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		840	16:11:17.011		3		Fixation	582			44	974	590	917	632	945	611	2.96	3.07	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		856	16:11:17.028		3		Fixation	582			45	978	595	915	633	946	614	2.96	3.07	0	0	
UnInformative B	ANCAT86	F	ANCAT86	6/28/2012	315080		873	16:11:17.044		3		Fixation	582			46	980	605	918	629	949	617	2.92	3.05	0	0	
