Filename	Trial	Phase	Subphase	Starting_time
The bottle is right here.avi	FamiliarBottle	Bottle	Preview	0
The bottle is right here.avi	FamiliarBottle	Bottle	Test	15
The bottle is right here.avi	FamiliarBottle	Bottle	Word Onset	15.5
The dog is so little.avi	FamiliarDog	Dog	Preview	0
The dog is so little.avi	FamiliarDog	Dog	Test	15
The dog is so little.avi	FamiliarDog	Dog	Word Onset	15.5
The horse is near by.avi	FamiliarHorse	Horse	Preview	0
The horse is near by.avi	FamiliarHorse	Horse	Test	15
The horse is near by.avi	FamiliarHorse	Horse	Word Onset	15.5
The spoon is very clean.avi	FamiliarSpoon	Spoon	Preview	0
The spoon is very clean.avi	FamiliarSpoon	Spoon	Test	15
The spoon is very clean.avi	FamiliarSpoon	Spoon	Word Onset	15.5
The bird is so close.avi	FamiliarBird	Bird	Preview	0
The bird is so close.avi	FamiliarBird	Bird	Test	15
The bird is so close.avi	FamiliarBird	Bird	Word Onset	15.5
The cow is so wet.avi	FamiliarCow	Cow	Preview	0
The cow is so wet.avi	FamiliarCow	Cow	Test	15
The cow is so wet.avi	FamiliarCow	Cow	Word Onset	15.5
The vep is eating.avi	UnfamiliarLemur	Vep	Preview	0
The vep is eating.avi	UnfamiliarLemur	Vep	Test	15
The vep is eating.avi	UnfamiliarLemur	Vep	Word Onset	15.5
The dax is drinking.avi	UnfamiliarRhino	Dax	Preview	0
The dax is drinking.avi	UnfamiliarRhino	Dax	Test	15
The dax is drinking.avi	UnfamiliarRhino	Dax	Word Onset	15.5
The larp is sleeping.avi	UnfamiliarHedgehog	Larp	Preview	0
The larp is sleeping.avi	UnfamiliarHedgehog	Larp	Test	15
The larp is sleeping.avi	UnfamiliarHedgehog	Larp	Word Onset	15.5
The mot is looking.avi	UnfamiliarArmadillo	Mot	Preview	0
The mot is looking.avi	UnfamiliarArmadillo	Mot	Test	15
The mot is looking.avi	UnfamiliarArmadillo	Mot	Word Onset	15.5
The blick is crying.avi	UnfamiliarLizard	Blick	Preview	0
The blick is crying.avi	UnfamiliarLizard	Blick	Test	15
The blick is crying.avi	UnfamiliarLizard	Blick	Word Onset	15.5
The fisk is dancing.avi	UnfamiliarFlamingo	Fisk	Preview	0
The fisk is dancing.avi	UnfamiliarFlamingo	Fisk	Test	15
The fisk is dancing.avi	UnfamiliarFlamingo	Fisk	Word Onset	15.5
The biff is right here.avi	UnfamiliarLemur	Vep	Preview	0
The biff is right here.avi	UnfamiliarLemur	Vep	Test	15
The biff is right here.avi	UnfamiliarLemur	Vep	Word Onset	15.5
The chav is over here.avi	UnfamiliarRhino	Dax	Preview	0
The chav is over here.avi	UnfamiliarRhino	Dax	Test	15
The chav is over here.avi	UnfamiliarRhino	Dax	Word Onset	15.5
The zop is near by.avi	UnfamiliarHedgehog	Larp	Preview	0
The zop is near by.avi	UnfamiliarHedgehog	Larp	Test	15
The zop is near by.avi	UnfamiliarHedgehog	Larp	Word Onset	15.5
The rudd is very clean.avi	UnfamiliarArmadillo	Mot	Preview	0
The rudd is very clean.avi	UnfamiliarArmadillo	Mot	Test	15
The rudd is very clean.avi	UnfamiliarArmadillo	Mot	Word Onset	15.5
The koof is very dry.avi	UnfamiliarLizard	Blick	Preview	0
The koof is very dry.avi	UnfamiliarLizard	Blick	Test	15
The koof is very dry.avi	UnfamiliarLizard	Blick	Word Onset	15.5
The kell is so wet.avi	UnfamiliarFlamingo	Fisk	Preview	0
The kell is so wet.avi	UnfamiliarFlamingo	Fisk	Test	15
The kell is so wet.avi	UnfamiliarFlamingo	Fisk	Word Onset	15.5
The vep is eating (filtered).avi	UnfamiliarLemur	Vep	Preview	0
The vep is eating (filtered).avi	UnfamiliarLemur	Vep	Test	15
The vep is eating (filtered).avi	UnfamiliarLemur	Vep	Word Onset	15.5
The dax is drinking (filtered).avi	UnfamiliarRhino	Dax	Preview	0
The dax is drinking (filtered).avi	UnfamiliarRhino	Dax	Test	15
The dax is drinking (filtered).avi	UnfamiliarRhino	Dax	Word Onset	15.5
The larp is sleeping (filtered).avi	UnfamiliarHedgehog	Larp	Preview	0
The larp is sleeping (filtered).avi	UnfamiliarHedgehog	Larp	Test	15
The larp is sleeping (filtered).avi	UnfamiliarHedgehog	Larp	Word Onset	15.5
The mot is looking (filtered).avi	UnfamiliarArmadillo	Mot	Preview	0
The mot is looking (filtered).avi	UnfamiliarArmadillo	Mot	Test	15
The mot is looking (filtered).avi	UnfamiliarArmadillo	Mot	Word Onset	15.5
The blick is crying (filtered).avi	UnfamiliarLizard	Blick	Preview	0
The blick is crying (filtered).avi	UnfamiliarLizard	Blick	Test	15
The blick is crying (filtered).avi	UnfamiliarLizard	Blick	Word Onset	15.5
The fisk is dancing (filtered).avi	UnfamiliarFlamingo	Fisk	Preview	0
The fisk is dancing (filtered).avi	UnfamiliarFlamingo	Fisk	Test	15
The fisk is dancing (filtered).avi	UnfamiliarFlamingo	Fisk	Word Onset	15.5
