Subject_Number,ParticipantName,Condition,Order,Age_Group,Sex,Age,Excluded,Reason,Track_Percentage,MCDI_Total,MCDI_Nouns,MCDI_Verbs,Armadillo,Flamingo,Lizard,Hedgehog,Lemur,Rhinoceros,Eat,Cry,Sleep,Drink,Dance,Look
18,ANCAT18,informative,A,19-months,F,18.02,0,,65%,55,35,6,0,0,0,0,0,0,1,1,1,1,1,1
22,ANCAT22,uninformative,A,19-months,F,20.84,0,,74%,56,35,3,0,1,0,0,0,0,1,1,1,1,1,1
23,ANCAT23,informative,A,19-months,M,18.25,0,,94%,7,3,0,0,0,0,0,0,0,1,0,1,1,1,1
26,ANCAT26,informative,A,19-months,M,18.31,0,,85%,10,3,0,0,0,0,0,0,0,1,1,1,1,1,1
31,ANCAT31,informative,A,15-months,M,17,1,severe track loss,19%,8,7,0,1,1,0,0,0,0,1,0,1,1,1,1
33,ANCAT33,uninformative,A,15-months,M,16.73,1,fussed out,32%,11,2,0,0,0,0,0,0,0,1,1,1,1,1,1
34,ANCAT34,uninformative,A,19-months,M,19.17,1,track loss,44%,7,2,0,0,0,0,0,0,0,1,1,1,1,1,1
39,ANCAT39,informative,A,19-months,F,21.4,0,,90%,41,24,2,0,0,0,0,0,0,1,1,1,1,1,0
45,ANCAT45,informative,A,19-months,M,21.86,0,,66%,31,19,1,0,0,0,0,0,0,1,1,1,1,1,1
47,ANCAT47,uninformative,A,19-months,M,19.36,1,failed to calibrate,,17,6,0,0,0,0,0,0,0,1,0,1,1,1,1
50,ANCAT50,uninformative,A,19-months,F,19.4,0,,76%,45,26,3,0,0,0,0,0,0,1,0,1,1,1,1
52,ANCAT52,uninformative,A,19-months,F,21.37,1,fussed out,64%,,,,,,,,,,,,,,,
53,ANCAT53,uninformative,A,19-months,M,18.84,0,,76%,19,9,0,0,0,0,0,0,0,1,1,1,1,1,1
55,ANCAT55,uninformative,A,19-months,M,19.63,0,,86%,13,7,0,0,0,0,0,0,0,1,0,1,1,0,0
58,ANCAT58,uninformative,A,19-months,M,19.3,0,,82%,28,22,1,0,0,1,0,0,1,1,1,1,1,1,1
59,ANCAT59,informative,A,19-months,F,18.41,0,,91%,31,23,0,0,0,0,0,0,0,1,0,0,0,1,1
60,ANCAT60,informative,A,19-months,M,21.47,0,,95%,41,24,1,0,1,0,0,0,1,1,0,1,1,1,1
64,ANCAT64,uninformative,A,19-months,F,18.54,0,,69%,51,35,1,0,1,0,0,0,0,1,1,1,1,1,1
68,ANCAT68,informative,A,19-months,F,19.43,1,file deleted? Experimental error,92%,66,39,8,1,1,1,0,1,1,1,1,1,1,1,1
69,ANCAT69,informative,A,19-months,F,19.27,0,,68%,21,12,1,0,0,0,0,0,0,1,1,1,1,1,1
72,ANCAT72,uninformative,A,19-months,F,18.87,0,,72%,15,7,0,0,0,0,0,0,0,1,0,1,1,1,1
74,ANCAT74,informative,A,19-months,M,18.87,0,,88%,25,17,1,0,0,1,1,0,0,1,0,1,0,1,0
75,ANCAT75,informative,A,19-months,F,19.73,0,,87%,27,14,1,0,0,0,0,0,0,1,0,1,1,1,1
76,ANCAT76,uninformative,A,19-months,F,18.44,0,,39%,21,11,0,0,0,0,0,0,0,0,0,1,0,1,1
77,ANCAT77,uninformative,A,19-months,M,21.27,0,,98%,30,17,2,0,0,0,1,0,1,1,0,0,0,1,1
78,ANCAT78,uninformative,A,19-months,F,18.15,1,fussed out,33%,18,8,0,0,0,0,0,0,0,1,0,1,1,1,1
79,ANCAT79,uninformative,A,19-months,F,19.53,0,,84%,21,11,0,0,0,0,0,0,0,1,0,1,1,1,1
80,ANCAT80,informative,A,19-months,F,19.73,0,,73%,23,12,1,0,0,0,0,0,0,1,1,1,1,1,1
81,ANCAT81,uninformative,A,19-months,F,18.84,0,,75%,25,16,1,0,0,0,0,0,0,1,0,1,1,1,1
82,ANCAT82,informative,A,19-months,F,19.63,0,,57%,50,29,4,0,0,0,0,0,0,1,1,1,1,1,1
83,ANCAT83,uninformative,A,19-months,M,18.54,1,"track loss, fuss out",65%,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1
84,ANCAT84,informative,A,19-months,M,21.8,0,,89%,59,36,5,1,1,1,0,0,0,1,1,1,1,1,1
85,ANCAT85,uninformative,A,19-months,M,21.7,0,,91%,25,14,0,0,0,1,0,0,0,1,1,1,1,1,1
86,ANCAT86,uninformative,B,19-months,F,18.77,0,,63%,16,6,0,0,0,0,0,0,0,1,0,1,0,0,0
87,ANCAT87,informative,B,19-months,F,21.14,1,"track loss, fuss out",29%,48,32,1,0,1,1,0,0,1,1,1,1,1,1,1
88,ANCAT88,informative,B,19-months,F,18.44,0,,88%,27,16,1,0,0,1,0,0,0,1,1,1,1,1,1
89,ANCAT89,informative,B,19-months,F,19.13,0,,77%,12,6,0,0,0,0,0,0,0,0,0,0,0,0,1
90,ANCAT90,uninformative,A,19-months,M,19.59,0,,88%,25,14,0,1,0,0,0,0,0,1,0,1,1,1,1
91,ANCAT91,uninformative,A,19-months,F,18.41,0,,58%,12,5,0,0,0,0,0,0,0,1,1,1,1,1,1
92,ANCAT92,informative,A,15-months,F,16.08,0,,89%,21,11,0,0,0,0,0,0,0,1,0,0,1,1,0
93,ANCAT93,informative,A,15-months,M,14.5,0,,58%,10,3,0,0,0,0,0,0,0,1,0,0,1,0,0
94,ANCAT94,uninformative,A,15-months,F,15.85,1,severe trackloss,11%,17,11,1,0,0,0,0,0,1,1,1,1,1,1,1
95,ANCAT95,informative,A,19-months,M,18.41,1,trackloss,58%,5,4,0,0,0,0,0,0,0,1,0,1,1,0,0
96,ANCAT96,uninformative,A,15-months,M,16.54,0,,73%,20,9,2,0,0,0,0,0,0,1,1,1,1,1,1
97,ANCAT97,informative,A,15-months,F,14.2,0,,81%,3,1,0,0,0,1,0,0,0,1,0,1,1,0,1
98,ANCAT98,uninformative,A,15-months,F,16.18,0,,78%,14,7,0,0,0,0,0,0,0,1,1,1,1,1,1
99,ANCAT99,uninformative,A,15-months,M,16.18,0,,64%,13,7,0,0,0,0,0,0,0,1,1,1,1,1,1
100,ANCAT100,informative,A,15-months,M,14.27,0,,54%,12,3,1,0,1,0,0,0,0,1,1,1,1,1,1
101,ANCAT101,informative,A,15-months,F,17.03,1,fussed out,41%,20,7,1,0,0,0,0,0,1,1,1,1,1,1,1
102,ANCAT102,uninformative,A,15-months,F,16.73,0,,56%,13,6,0,0,0,0,0,0,1,1,0,1,1,1,1
103,ANCAT103,uninformative,A,15-months,M,15.71,0,,89%,3,1,0,0,0,0,0,0,0,1,0,0,1,1,1
104,ANCAT104,informative,A,15-months,F,17.82,0,,64%,17,8,0,0,0,0,0,0,0,1,1,1,1,1,1
105,ANCAT105,informative,A,15-months,M,14.76,0,,85%,7,3,0,0,0,0,0,0,0,1,0,1,1,1,1
106,ANCAT106,uninformative,A,15-months,F,14.43,0,,59%,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
107,ANCAT107,uninformative,A,15-months,M,14.33,1,fuss out,56%,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
108,ANCAT108,informative,A,15-months,F,14.2,0,,52%,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
109,ANCAT109,uninformative,A,15-months,F,15.42,1,track loss,46%,18,6,1,0,0,0,0,0,1,1,1,1,1,1,1
110,ANCAT110,informative,A,15-months,M,17.82,1,fussed out,28%,3,2,0,0,0,0,0,0,1,1,0,1,1,1,1
112,ANCAT112,uninformative,A,15-months,M,17.42,0,,64%,9,6,0,0,0,0,0,0,0,1,0,1,1,0,1
113,ANCAT113,informative,A,15-months,F,17.13,1,fussed out,32%,12,6,0,0,0,0,0,0,0,1,1,1,1,1,1
114,ANCAT114,uninformative,A,15-months,F,15.88,0,,40%,24,15,1,0,0,1,0,0,1,1,0,1,1,1,0
115,ANCAT115,informative,A,15-months,F,14.93,0,,54%,12,7,0,0,0,0,0,0,0,1,0,1,1,1,0
116,ANCAT116,informative,A,15-months,M,16.21,0,,72%,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1
117,ANCAT117,uninformative,A,15-months,F,15.91,1,failed to calibrate,,36,20,1,0,0,0,0,0,0,1,1,1,1,1,1
118,ANCAT118,uninformative,A,15-months,M,15.25,0,,68%,27,15,0,0,0,0,0,0,1,1,1,1,1,1,1
119,ANCAT119,uninformative,A,15-months,F,17.52,0,,59%,16,8,0,0,0,0,0,0,0,1,1,1,1,1,1
120,ANCAT120,informative,A,15-months,M,14.56,0,,69%,8,4,0,0,0,0,0,0,0,1,0,1,1,1,0
121,ANCAT121,uninformative,A,15-months,M,14.43,1,high trackloss,49%,9,3,0,0,0,0,0,0,0,1,0,0,1,0,1
122,ANCAT122,informative,A,15-months,F,14.5,0,,69%,19,8,1,0,0,1,0,0,0,1,1,1,1,1,1
123,ANCAT123,uninformative,A,15-months,F,14.33,1,fussed out,48%,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,ANCAT124,informative,A,15-months,F,17.06,1,fussed out,20%,6,3,0,0,0,0,0,0,0,1,1,1,1,1,1
125,ANCAT125,informative,A,15-months,M,14.6,1,fussed out,16%,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
126,ANCAT126,uninformative,A,15-months,M,15.22,0,,68%,6,4,0,0,0,0,0,0,0,1,0,0,1,0,0
127,ANCAT127,informative,A,15-months,M,14.79,0,,87%,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
