"","ParticipantName","Trial","Condition","Age","MCDI_Total","MCDI_Nouns","MCDI_Verbs","KnownVerb","KnownAnimal","Verb","y","N","elog","wts","Proportion","ArcSin"
"1","ANCAT91","UnfamiliarArmadillo","Neutral",18.41,"12","5","0",0,0,"Look",72,222,-0.730376522328301,0.0204376217207011,0.324324324324324,0.605891118839246
"2","ANCAT86","UnfamiliarArmadillo","Neutral",18.77,"16","6","0",0,0,"Look",109,285,-0.477396327116796,0.0147981424709276,0.382456140350877,0.666743755547158
"3","ANCAT55","UnfamiliarArmadillo","Neutral",19.63,"13","7","0",0,0,"Look",168,292,0.302630033887654,0.0139668466149464,0.575342465753425,0.86102870277039
"4","ANCAT72","UnfamiliarArmadillo","Neutral",18.87,"15","7","0",0,0,"Look",252,283,2.08142370288383,0.0357064277856357,0.890459363957597,1.23346581195117
"5","ANCAT53","UnfamiliarArmadillo","Neutral",18.84,"19","9","0",0,0,"Look",3,112,-3.44316158076119,0.29484670580561,0.0267857142857143,0.164403007785151
"6","ANCAT79","UnfamiliarArmadillo","Neutral",19.53,"21","11","0",0,0,"Look",102,146,0.834373609406268,0.0322280076733352,0.698630136986301,0.989662914837175
"7","ANCAT85","UnfamiliarArmadillo","Neutral",21.7,"25","14","0",0,0,"Look",87,329,-1.01936291701397,0.0155522827687776,0.264437689969605,0.540115499595322
"8","ANCAT81","UnfamiliarArmadillo","Neutral",18.84,"25","16","1",0,0,"Look",152,313,-0.0573405466152449,0.0127493275135766,0.485623003194888,0.771019184723534
"9","ANCAT74","UnfamiliarArmadillo","Informative",18.87,"25","17","1",0,0,"Look",148,326,-0.184003642976939,0.0123362476303653,0.45398773006135,0.739320702111768
"10","ANCAT58","UnfamiliarArmadillo","Neutral",19.3,"28","22","1",0,0,"Look",40,118,-0.661796650675869,0.0374302115278761,0.338983050847458,0.621459638813624
"11","ANCAT64","UnfamiliarArmadillo","Neutral",18.54,"51","35","1",0,0,"Look",73,190,-0.469152927365423,0.0221160804747431,0.384210526315789,0.668547943985012
"12","ANCAT77","UnfamiliarArmadillo","Neutral",21.27,"30","17","2",0,0,"Look",156,329,-0.103121589406706,0.0121534651186344,0.474164133738602,0.759550786478346
"13","ANCAT39","UnfamiliarArmadillo","Informative",21.4,"41","24","2",0,0,"Look",308,329,2.66366890821183,0.0497531189928763,0.936170212765957,1.31538276427782
"14","ANCAT50","UnfamiliarArmadillo","Neutral",19.4,"45","26","3",0,0,"Look",23,98,-1.16713223510487,0.0557982246019445,0.23469387755102,0.50573680475153
"15","ANCAT139","UnfamiliarArmadillo","Informative",21.86,"47","29","8",0,0,"Look",67,197,-0.659245628884264,0.022477650063857,0.34010152284264,0.622640573317224
"16","ANCAT23","UnfamiliarArmadillo","Informative",18.25,"7","3","0",1,0,"Look",91,250,-0.555704949943424,0.0171985542251229,0.364,0.647662772037123
