Subject,Age,Sex,Bilingual,Condition,Order,FamCategory,FamFirstSide,NoveltySide,FamLookingProp,FamExemplarsObserved,Fam1s,Fam2s,Fam3s,Fam4s,Fam5s,Fam6s,Fam7s,Fam8s,TestLookingProp,TestNoveltyPreference,TestNoveltyPreference_10s
1,5.79,1,0,Communicative Tones,DINO-LEFT-FD,DINO,LEFT,LEFT,0.268566674,8,11.52317881,5.242070117,9.118136439,4.850498339,5.690515807,3.194675541,0.866666667,2.437395659,0.288333333,0.878612717,0.878612717
2,6.05,1,1,Communicative Tones,DINO-RIGHT-FD,DINO,RIGHT,LEFT,0.374562573,8,7.588510354,8.886686488,6.841046278,7.051367578,8.584748585,4.620505992,9.227683049,7.121464226,0.5,0.64,0.64
3,6.18,1,1,Communicative Tones,FISH-LEFT-DF,FISH,LEFT,LEFT,0.47233777,7,12.41264559,4.717607973,0,17.94019934,12.48747913,5.7,5.348837209,16.97171381,0.86,0.554263566,0.756666667
4,6.12,2,1,Communicative Tones,FISH-LEFT-FD,FISH,LEFT,RIGHT,0.600748596,8,7.68718802,10.3654485,12.64559068,14.18604651,10.4,15.9,12.05980066,12.87853577,0.965,0.675302245,0.683333333
5,5.75,2,1,Communicative Tones,FISH-LEFT-FD,FISH,LEFT,RIGHT,0.62070402,8,9.916527546,8.733333333,15.9733777,17.23793677,9.166666667,15.81395349,4.340567613,18.09682805,0.948333333,0.678383128,0.516666667
6,6.18,2,0,Communicative Tones,FISH-RIGHT-FD,FISH,RIGHT,RIGHT,0.460898502,8,9.4,2.9,2.6910299,16.57237937,10.53156146,15.17470882,2.733333333,13.72093023,0.743333333,0.715246637,0.72
7,5.59,1,1,Communicative Tones,DINO-LEFT-DF,DINO,LEFT,RIGHT,0.282296651,7,5.966666667,5.590682196,3.089700997,14.67554077,1.730449251,6.3,0,7.80730897,0.706666667,0.70754717,0.586666667
8,6.05,1,0,Communicative Tones,DINO-RIGHT-DF,DINO,RIGHT,RIGHT,0.256554307,8,9.202657807,2.766666667,5.166666667,7.466666667,10.5,3.388704319,0.931780366,1.630615641,0.403333333,0.516528926,0.516528926
9,6.44,2,0,Communicative Tones,DINO-RIGHT-FD,DINO,RIGHT,LEFT,0.321057012,8,8,4.966666667,10.16611296,7.787021631,8.286189684,2.861896839,4.674457429,4.617940199,0.4,0.3875,0.3875
10,5.75,2,0,Communicative Tones,FISH-RIGHT-FD,FISH,RIGHT,RIGHT,0.541103018,8,10.21630616,12.13333333,5.980066445,16.62771285,7.412353923,8.471760797,10.6156406,15.14143095,0.806666667,0.423553719,0.443333333
