"","X","Subject","Experiment","Age","Sex","Condition","TrainingPattern","ContrastPattern","Phase","Trial","Pattern","PatternType","Location","PreLook","LT","Excluded"
"1",1,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Training",1,"",NA,"Right",21971,256,0
"2",2,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Training",2,"",NA,"Left",2182,7887,0
"3",3,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Training",3,"",NA,"Left",35427,24340,0
"4",4,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Training",4,"",NA,"Right",7202,37079,0
"5",5,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",1,"ABB","Novel","Left",3631,14958,0
"6",6,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",2,"AAB","Familiar","Right",11404,8014,0
"7",7,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",3,"ABB","Novel","Left",2489,12004,0
"8",8,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",4,"AAB","Familiar","Right",1738,6711,0
"9",9,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",5,"ABB","Novel","Left",1678,5260,0
"10",10,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",6,"AAB","Familiar","Left",1357,3102,0
"11",11,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",7,"ABB","Novel","Right",5231,11931,0
"12",12,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",8,"AAB","Familiar","Right",3503,12210,0
"13",13,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",9,"ABB","Novel","Left",1893,8977,0
"14",14,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",10,"AAB","Familiar","Right",3076,15027,0
"15",15,"COMMRULE-1",1,7.34,"Female","Communicative","AAB","ABB","Test",11,"ABB","Novel","Left",1136,14123,0
